brand,model,year,kilometers_driven,owner_type,fuel_type,price_lakhs
Maruti,Alto 800,2017.0,22490,1,PETROL,3.41
Maruti,Wagon R 1.0,2017.0,32950,1,PETROL,4.44
Datsun,Redi Go,2017.0,36667,2,PETROL,2.12
Maruti,Swift,2014.0,63782,1,PETROL,5.15
Hyundai,Verna,2020.0,33730,1,PETROL,11.86
Honda,City,2012.0,60745,2,PETROL,3.58
Tata,Tiago,2022.0,4112,1,CNG,6.49
Maruti,Celerio,2014.0,45462,1,CNG,3.73
Hyundai,Grand i10,2014.0,94221,2,PETROL,4.24
Renault,Kwid,2017.0,52703,1,PETROL,2.79
Maruti,Ciaz,2019.0,50335,1,PETROL,8.99
Renault,Kiger,2021.0,14608,1,PETROL,9.6
Skoda,Rapid,2020.0,47239,1,PETROL,7.44
Maruti,Swift,2010.0,82598,2,PETROL,2.6
Renault,Kwid,2022.0,7775,2,PETROL,5.14
Toyota,YARIS,2018.0,68950,2,PETROL,7.66
Hyundai,Xcent,2017.0,63055,1,PETROL,3.93
Maruti,Swift Dzire,2014.0,25113,1,PETROL,3.48
Maruti,New Wagon-R,2020.0,22750,1,PETROL,5.62
Maruti,Alto,2019.0,26485,1,PETROL,3.52
Maruti,Alto 800,2014.0,82384,2,PETROL,2.55
Maruti,Dzire,2017.0,39614,1,PETROL,6.68
Maruti,Celerio,2015.0,77422,1,PETROL,3.41
Honda,City,2018.0,5528,1,PETROL,8.29
Mahindra,Thar,2018.0,35083,2,DIESEL,7.71
Maruti,IGNIS,2017.0,74643,1,PETROL,5.3
Tata,ALTROZ,2020.0,41382,2,PETROL,7.81
Maruti,Ciaz,2018.0,74648,2,DIESEL,5.99
Hyundai,Elite i20,2020.0,29678,2,PETROL,7.02
Hyundai,New Elantra,2016.0,75545,1,PETROL,9.47
Maruti,Baleno,2021.0,13538,1,PETROL,8.6
Maruti,Wagon R 1.0,2018.0,43339,1,CNG,4.45
Hyundai,Grand i10,2016.0,88023,2,PETROL,4.73
Hyundai,Grand i10,2019.0,37716,1,PETROL,5.99
Maruti,Ciaz,2020.0,62414,1,PETROL,6.84
Maruti,Swift Dzire,2015.0,26237,1,PETROL,3.59
Maruti,Celerio,2018.0,90932,1,PETROL,3.76
Maruti,S Cross,2018.0,89162,2,DIESEL,6.1
Honda,City,2013.0,45482,1,CNG,4.43
Maruti,Ciaz,2018.0,78356,1,DIESEL,9.42
Hyundai,Elite i20,2016.0,72362,1,PETROL,7.01
Maruti,Ciaz,2021.0,79587,1,PETROL,6.96
Maruti,Celerio,2019.0,45551,1,PETROL,5.87
Honda,City,2021.0,18423,1,PETROL,11.19
Maruti,Swift,2019.0,40584,1,PETROL,5.61
Maruti,Swift,2021.0,7244,1,PETROL,7.98
Honda,Jazz,2016.0,61496,1,PETROL,4.65
Hyundai,Elite i20,2015.0,86352,2,DIESEL,5.84
Maruti,Ertiga,2013.0,99344,2,DIESEL,6.46
Tata,NEXON,2020.0,73321,1,DIESEL,9.76
Hyundai,i10,2010.0,58084,2,PETROL,2.27
Hyundai,NEW I20,2021.0,1830,1,PETROL,7.0
Maruti,Swift,2018.0,55919,1,PETROL,6.57
Maruti,Swift,2019.0,39682,1,PETROL,6.89
Maruti,New Wagon-R,2021.0,57433,1,PETROL,6.17
Hyundai,i10,2011.0,54404,1,PETROL,2.69
Maruti,Celerio,2016.0,68512,2,PETROL,4.42
Maruti,Baleno,2017.0,95619,1,PETROL,4.57
Honda,Brio,2016.0,70316,3,PETROL,3.64
Honda,Jazz,2016.0,32919,2,DIESEL,5.1
Toyota,Innova Crysta,2021.0,17721,2,DIESEL,22.1
Maruti,Alto 800,2017.0,121145,1,PETROL,2.68
Renault,Captur,2019.0,26583,1,PETROL,8.82
Tata,TIGOR,2019.0,47174,1,CNG,8.97
Honda,City,2016.0,99861,1,PETROL,8.74
Hyundai,VENUE,2020.0,40734,1,DIESEL,8.03
Maruti,IGNIS,2020.0,36231,1,PETROL,6.0
Maruti,Alto K10,2012.0,52076,1,PETROL,2.53
Hyundai,Creta,2020.0,71723,1,PETROL,10.81
Maruti,Swift,2013.0,97424,1,PETROL,3.25
Maruti,Swift,2018.0,31045,1,PETROL,5.9
Tata,TIGOR,2017.0,61340,1,PETROL,4.86
Hyundai,i10,2012.0,75166,1,PETROL,2.86
Hyundai,Verna,2019.0,32436,1,PETROL,5.92
Hyundai,Grand i10,2015.0,101356,2,PETROL,4.47
Volkswagen,Vento,2020.0,62889,1,PETROL,6.44
Maruti,Baleno,2019.0,22126,1,PETROL,6.36
Maruti,Swift,2017.0,42386,1,PETROL,5.38
Maruti,Wagon R 1.0,2015.0,56510,1,PETROL,2.91
Nissan,MAGNITE,2021.0,23260,1,PETROL,8.26
Honda,Amaze,2013.0,49260,1,DIESEL,7.7
Hyundai,AURA,2022.0,28673,1,DIESEL,8.6665
Hyundai,GRAND I10 NIOS,2019.0,25272,1,PETROL,6.55
Ford,Ecosport,2019.0,13204,1,PETROL,10.28
Maruti,Celerio,2015.0,38644,1,PETROL,4.45
Hyundai,NEW SANTRO,2021.0,18055,1,PETROL,5.13
Hyundai,Elite i20,2017.0,51893,1,PETROL,5.52
Honda,WR-V,2018.0,27235,1,PETROL,6.19
Honda,WR-V,2018.0,27043,2,PETROL,6.79
Maruti,Swift,2014.0,52507,1,PETROL,4.85
Maruti,Wagon R 1.0,2017.0,26905,2,PETROL,5.13
Hyundai,i10,2012.0,57352,2,PETROL,3.18
Renault,Kiger,2022.0,3522,1,PETROL,5.54
Honda,Amaze,2018.0,18487,1,PETROL,5.26
Maruti,Baleno,2017.0,68949,2,PETROL,5.15
Ford,Ecosport,2015.0,58675,3,PETROL,5.49
Honda,City,2017.0,22496,1,PETROL,15.14
Honda,Amaze,2015.0,55580,2,PETROL,5.07
Honda,City,2013.0,106244,1,PETROL,6.96
Honda,Amaze,2019.0,26129,1,PETROL,7.25
Hyundai,Elite i20,2014.0,47704,2,PETROL,5.44
Hyundai,Elite i20,2017.0,971212,3,PETROL,5.83
Hyundai,Santro Xing,2014.0,65042,1,PETROL,2.25
Maruti,Baleno,2017.0,37647,2,PETROL,5.83
Jeep,Compass,2017.0,64212,1,DIESEL,10.49
Nissan,MAGNITE,2021.0,16927,2,PETROL,7.9765
Honda,Jazz,2018.0,75402,2,PETROL,6.37
Tata,Tiago,2018.0,38878,1,PETROL,5.05
Hyundai,Elite i20,2015.0,83731,2,DIESEL,6.39
Hyundai,i10,2011.0,56652,2,PETROL,2.17
Hyundai,Xcent,2016.0,32043,1,PETROL,6.91
Hyundai,Grand i10,2016.0,90995,2,PETROL,4.41
Maruti,Ritz,2011.0,39644,1,PETROL,1.97
Maruti,Celerio,2019.0,27421,1,PETROL,4.64
Maruti,S Cross,2015.0,91260,2,DIESEL,6.37
Maruti,Alto K10,2019.0,12639,2,PETROL,3.95
Hyundai,Elite i20,2018.0,92792,1,PETROL,5.98
Honda,City,2014.0,22322,1,PETROL,6.51
Honda,WR-V,2017.0,39145,1,PETROL,6.52
Maruti,Wagon R 1.0,2018.0,49694,1,PETROL,3.45
Hyundai,Grand i10,2018.0,18461,1,PETROL,7.09
Hyundai,Verna,2019.0,29881,1,PETROL,8.65
Tata,NEXON,2021.0,22424,1,PETROL,10.66
Volkswagen,Polo,2014.0,100761,2,DIESEL,6.49
Nissan,MAGNITE,2021.0,23316,1,PETROL,8.48
Honda,City,2013.0,94287,2,PETROL,4.74
Honda,Amaze,2020.0,61109,1,DIESEL,9.8
Hyundai,Verna,2021.0,72826,1,PETROL,3.72
Honda,City,2015.0,60713,1,PETROL,2.52
Renault,Kwid,2021.0,20023,1,PETROL,5.53
Maruti,Wagon R 1.0,2012.0,54745,1,CNG,3.03
Hyundai,Creta,2016.0,79576,1,PETROL,9.73
Hyundai,Creta,2017.0,88700,1,PETROL,5.83
Maruti,Swift,2013.0,70041,2,CNG,3.726
Maruti,Swift Dzire,2015.0,55183,1,PETROL,10.23
Maruti,Wagon R 1.0,2010.0,108430,1,PETROL,1.68
Hyundai,VENUE,2020.0,50646,1,PETROL,9.29
Hyundai,i20 Active,2016.0,102621,2,PETROL,4.4
Maruti,Ciaz,2019.0,10949,1,PETROL,11.76
KIA,SONET,2021.0,27698,1,DIESEL,9.0
Maruti,New Wagon-R,2019.0,28454,2,PETROL,5.1635
Nissan,MAGNITE,2022.0,13800,1,PETROL,9.32
Maruti,IGNIS,2017.0,83290,1,CNG,5.04
Hyundai,Grand i10,2015.0,98416,1,PETROL,4.16
Volkswagen,Polo,2019.0,80855,1,PETROL,5.59
Maruti,Swift,2014.0,37528,1,PETROL,4.07
Maruti,Baleno,2017.0,50135,1,PETROL,6.0
Maruti,Wagon R 1.0,2012.0,75761,2,PETROL,3.03
Hyundai,NEW SANTRO,2020.0,19168,1,PETROL,4.76
Honda,Amaze,2014.0,54075,1,PETROL,4.48
Maruti,IGNIS,2017.0,27263,1,PETROL,5.05
Honda,Amaze,2013.0,86176,1,DIESEL,4.48
Hyundai,NEW SANTRO,2019.0,57435,1,PETROL,5.43
Maruti,Ritz,2010.0,91149,2,PETROL,3.13
Hyundai,Elite i20,2017.0,72793,2,PETROL,6.66
Maruti,S PRESSO,2021.0,9447,1,CNG,4.85
Maruti,Alto,2012.0,11969,1,PETROL,1.9
Honda,Jazz,2016.0,76046,2,PETROL,4.9
Hyundai,GRAND I10 NIOS,2021.0,10750,1,PETROL,7.28
Maruti,Ciaz,2017.0,81868,1,PETROL,3.92
Maruti,Swift,2011.0,49595,2,PETROL,3.09
Hyundai,Grand i10,2018.0,35828,1,PETROL,5.19
Maruti,New Wagon-R,2021.0,31413,1,CNG,5.652
Renault,Kwid,2018.0,55801,1,PETROL,4.5
Maruti,Swift Dzire,2012.0,36647,2,PETROL,7.69
Datsun,Redi Go,2021.0,9618,1,PETROL,3.7
Hyundai,Grand i10,2014.0,54178,1,PETROL,4.07
Maruti,Celerio X,2020.0,47794,1,PETROL,5.59
Ford,Ecosport,2016.0,51228,2,CNG,5.98
Hyundai,Elite i20,2016.0,75268,1,PETROL,5.59
Maruti,Wagon R 1.0,2018.0,23255,1,CNG,4.24
Maruti,IGNIS,2019.0,51278,2,PETROL,5.47
Maruti,Wagon R 1.0,2011.0,38412,1,PETROL,2.49
Maruti,Dzire,2018.0,40225,1,PETROL,7.93
Maruti,Baleno,2017.0,76971,1,PETROL,5.85
Mahindra,Kuv100,2017.0,78000,1,DIESEL,3.61
Hyundai,Grand i10,2013.0,77763,3,PETROL,3.6
Maruti,Ciaz,2016.0,98832,3,PETROL,3.11
Maruti,Swift,2014.0,33805,1,PETROL,4.32
Maruti,Ciaz,2021.0,60940,1,PETROL,6.58
Maruti,Alto,2010.0,49289,1,PETROL,1.45
Maruti,Wagon R 1.0,2013.0,62269,1,CNG,3.14
Datsun,Go Plus,2019.0,47592,1,PETROL,3.71
Maruti,Swift,2017.0,73848,1,DIESEL,4.69
Tata,Tiago,2020.0,23116,1,PETROL,6.18
Maruti,Alto,2020.0,10762,1,PETROL,3.7
Maruti,Swift,2017.0,52858,1,PETROL,5.82
Maruti,Swift,2015.0,79324,1,PETROL,4.8
Honda,Amaze,2019.0,66908,1,CNG,7.38
Maruti,Vitara Brezza,2016.0,59232,1,DIESEL,8.93
Honda,Amaze,2016.0,20404,1,PETROL,9.59
Maruti,Alto K10,2017.0,65463,1,PETROL,3.34
Hyundai,Elite i20,2015.0,69458,1,PETROL,4.73
Maruti,Baleno,2017.0,79894,1,PETROL,6.53
Maruti,Alto,2020.0,27090,1,PETROL,3.33
Jeep,Compass,2017.0,32038,1,DIESEL,10.84
Maruti,Wagon R 1.0,2012.0,61527,1,PETROL,3.13
Ford,New Figo,2019.0,35504,1,PETROL,5.89
Hyundai,Xcent,2016.0,99067,2,PETROL,3.51
Honda,Jazz,2022.0,25396,1,PETROL,9.17
Maruti,Swift,2013.0,51905,1,PETROL,3.2
Hyundai,Eon,2012.0,56979,2,PETROL,1.72
Volkswagen,Ameo,2019.0,45542,1,PETROL,3.32
Hyundai,Creta,2017.0,41631,2,PETROL,8.03
Maruti,Swift,2019.0,16914,1,PETROL,5.42
Honda,City,2021.0,71893,2,PETROL,5.75
Honda,Brio,2012.0,60181,2,PETROL,3.58
Volkswagen,Vento,2017.0,67533,1,PETROL,6.5
Maruti,Wagon R 1.0,2012.0,88986,1,CNG,2.76
Maruti,Baleno,2019.0,74739,1,PETROL,6.79
Maruti,Alto K10,2013.0,55611,1,PETROL,2.53
Maruti,Baleno,2019.0,25846,1,PETROL,8.76
Maruti,Baleno,2016.0,36777,1,PETROL,5.61
Toyota,Etios,2013.0,47219,1,PETROL,3.89
Hyundai,Elite i20,2015.0,15146,2,PETROL,4.63
Hyundai,Grand i10,2017.0,28388,2,PETROL,4.77
Mahindra,TUV 300 PLUS,2018.0,83004,1,DIESEL,7.715
Honda,Jazz,2019.0,17583,1,PETROL,8.13
Hyundai,NEW I20,2021.0,29004,1,PETROL,7.76
Hyundai,Elite i20,2016.0,90213,2,PETROL,6.13
Maruti,Swift,2011.0,21840,1,PETROL,2.65
Renault,Kwid,2016.0,57592,2,PETROL,3.04
Datsun,Go Plus,2021.0,45062,1,PETROL,5.83
Renault,TRIBER,2020.0,21687,2,PETROL,7.19
