Unnamed: 0,car_name,year,kilometers_driven,owner_type,fuel_type,location,drive_type,body_type,price,brand,model,owner_type_str,price_lakhs
4573,Honda City,2016.0,27955,2,PETROL,UP-78,Manual,Sedan,526000,Honda,City,Second,5.26
4574,Hyundai GRAND I10 NIOS,2020.0,79978,1,PETROL,KA-51,Manual,HatchBack,645000,Hyundai,GRAND I10 NIOS,First,6.45
4575,Maruti Baleno,2019.0,53627,1,PETROL,KA-53,Automatic,HatchBack,745000,Maruti,Baleno,First,7.45
4576,Hyundai NEW SANTRO,2020.0,47887,1,CNG,MH-05,Manual,HatchBack,540000,Hyundai,NEW SANTRO,First,5.4
4577,Datsun Redi Go,2016.0,60228,1,PETROL,TN-05,Manual,HatchBack,271000,Datsun,Redi Go,First,2.71
4578,Honda City,2017.0,85948,1,DIESEL,TS-08,Automatic,Sedan,644000,Honda,City,First,6.44
4579,Maruti Swift Dzire,2016.0,21303,2,PETROL,MH-12,Automatic,Sedan,733000,Maruti,Swift Dzire,Second,7.33
4580,Mahindra XUV500,2017.0,108691,3,DIESEL,PB-65,Automatic,Lux_SUV,870000,Mahindra,XUV500,Third,8.7
4581,Datsun Redi Go,2021.0,18569,1,PETROL,TS-08,Manual,HatchBack,470000,Datsun,Redi Go,First,4.7
4582,Hyundai Elite i20,2017.0,53549,2,PETROL,RJ-14,Manual,HatchBack,552000,Hyundai,Elite i20,Second,5.52
4583,Renault Kwid,2018.0,49245,2,PETROL,KA-05,Automatic,HatchBack,420000,Renault,Kwid,Second,4.2
4584,Tata Harrier,2021.0,70076,1,DIESEL,TS-08,Manual,SUV,1815000,Tata,Harrier,First,18.15
4585,Maruti Ritz,2014.0,116027,2,DIESEL,TS-08,Manual,HatchBack,349000,Maruti,Ritz,Second,3.49
4586,Maruti Zen Estilo,2013.0,11199,2,PETROL,WB-38,Manual,HatchBack,212000,Maruti,Zen Estilo,Second,2.12
4587,Hyundai i10,2012.0,59322,3,PETROL,GJ-21,Manual,HatchBack,295000,Hyundai,i10,Third,2.95
4588,Hyundai Creta,2016.0,70257,1,PETROL,GJ-01,Automatic,SUV,868000,Hyundai,Creta,First,8.68
4589,Maruti Wagon R 1.0,2012.0,73157,2,PETROL,MH-05,Manual,HatchBack,267750,Maruti,Wagon R 1.0,Second,2.6775
4590,Toyota Corolla Altis,2014.0,102477,2,PETROL,,Automatic,Lux_sedan,750000,Toyota,Corolla Altis,Second,7.5
4591,Ford FREESTYLE,2019.0,60282,2,DIESEL,KA-01,Manual,SUV,703000,Ford,FREESTYLE,Second,7.03
4592,Volkswagen Polo,2017.0,54651,2,PETROL,TS-09,Manual,HatchBack,588000,Volkswagen,Polo,Second,5.88
4593,Honda City,2015.0,82616,1,PETROL,WB-02,Manual,Sedan,412000,Honda,City,First,4.12
4594,Maruti Swift,2018.0,63025,1,PETROL,KA-01,Automatic,HatchBack,675000,Maruti,Swift,First,6.75
4595,Hyundai Grand i10,2018.0,7752,1,PETROL,WB-06,Automatic,HatchBack,550000,Hyundai,Grand i10,First,5.5
4596,Renault Kiger,2022.0,11634,1,PETROL,DL-12,Automatic,HatchBack,853000,Renault,Kiger,First,8.53
4597,Maruti Celerio,2017.0,30622,2,PETROL,KA-01,Automatic,HatchBack,518000,Maruti,Celerio,Second,5.18
4598,Toyota Glanza,2019.0,39014,1,PETROL,TS-08,Automatic,HatchBack,805000,Toyota,Glanza,First,8.05
4599,Hyundai Elite i20,2015.0,44382,1,PETROL,MH-04,Manual,HatchBack,535000,Hyundai,Elite i20,First,5.35
4600,Maruti Ciaz,2015.0,65163,2,PETROL,MH-02,Manual,Sedan,500000,Maruti,Ciaz,Second,5.0
4601,Hyundai Elite i20,2018.0,41996,1,CNG,UP-16,Manual,HatchBack,619000,Hyundai,Elite i20,First,6.19
4602,Honda Brio,2012.0,57115,2,PETROL,KA-03,Manual,HatchBack,347000,Honda,Brio,Second,3.47
4603,Maruti Swift,2015.0,124318,3,DIESEL,GJ-03,Manual,HatchBack,371000,Maruti,Swift,Third,3.71
4604,Volkswagen Polo,2021.0,11858,1,PETROL,MH-12,Automatic,HatchBack,1030000,Volkswagen,Polo,First,10.3
4605,Maruti Swift Dzire,2013.0,16029,1,PETROL,HR-29,Manual,Sedan,731000,Maruti,Swift Dzire,First,7.31
4606,Maruti Alto K10,2015.0,36019,2,CNG,HR-51,Automatic,HatchBack,309000,Maruti,Alto K10,Second,3.09
4607,Honda City,2017.0,43238,2,PETROL,KA-03,Manual,Sedan,732000,Honda,City,Second,7.32
4608,Renault Kiger,2021.0,14598,1,PETROL,KA-04,Manual,HatchBack,814000,Renault,Kiger,First,8.14
4609,Maruti New Wagon-R,2019.0,63087,1,CNG,MH-05,Manual,HatchBack,507000,Maruti,New Wagon-R,First,5.07
4610,Maruti Celerio,2015.0,99579,2,PETROL,KA-04,Automatic,HatchBack,443000,Maruti,Celerio,Second,4.43
4611,Hyundai Grand i10,2018.0,24039,1,CNG,DL-8C,Manual,HatchBack,476000,Hyundai,Grand i10,First,4.76
4612,Honda City,2014.0,41716,1,PETROL,MP-09,Manual,Sedan,526000,Honda,City,First,5.26
4613,Maruti Celerio,2016.0,72575,2,PETROL,TS-16,Automatic,HatchBack,426000,Maruti,Celerio,Second,4.26
4614,Hyundai Xcent,2014.0,39761,1,PETROL,WB-02,Manual,Sedan,321000,Hyundai,Xcent,First,3.21
4615,Maruti Dzire,2019.0,33497,1,PETROL,BR-01,Manual,Sedan,670000,Maruti,Dzire,First,6.7
